,log(cond) (uS/cm),conc1,conc2,conc3,conc4,conc5,conc6,smiles1,smiles2,smiles3,smiles4,smiles5,smiles6,temperature ( C )
6714,3.415464,16.54502,40.62475,42.83024,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,29.4
12410,3.049218,4.947709,95.05229,0.0,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CCOC(=O)OC,O,O,O,O,0.0
13668,3.95376,7.946758,41.66146,50.39178,0.0,0.0,0,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCS(=O)(=O)C1,COCCO,O,O,O,60.0
13421,2.447158,9.759031,76.74365,13.49732,0.0,0.0,0,[Li+].F[As-](F)(F)(F)(F)F,C1CCS(=O)(=O)C1,COCCOCCOCCOC,O,O,O,-20.0
12312,3.703033,15.4318,28.43817,56.13004,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CCOC(=O)OC,O,O,O,20.0
8782,1.197153,17.97894,52.03954,29.98152,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-39.4
1833,3.493876,3.11395,70.7007,26.18535,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-0.2
1945,4.11227,10.6308,56.70169,32.66752,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,59.0
11606,3.58882,1.205092,36.08208,62.71282,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O1CCOCC1,O,O,O,29.4
10515,3.646437,9.384655,10.3402,80.27514,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,39.3
3294,2.69897,17.9475,59.87621,22.17629,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-10.0
596,3.265338,7.004854,47.02378,45.97136,0.0,0.0,0,[Li+].C(#N)C1=C(N=C([N-]1)C(C(F)(F)F)(F)F)C#N,C1COC(=O)O1,COC(=O)OC,O,O,O,-19.726
7795,2.828641,6.750896,68.04671,25.20239,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-29.5
3016,3.458269,7.783026,49.46747,42.7495,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,29.4
4543,4.068292,12.32139,20.00158,67.67703,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CCOC(=O)OC,O,O,O,50.0
5725,0.741734,14.35395,85.64605,0.0,0.0,0.0,0,[Li+].[B-](OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)(F)F,CC1COC(=O)O1,O,O,O,O,24.69419
8954,3.783298,8.408243,39.92839,51.66336,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,49.2
